Date,AdjustedClose,Return
08/09/22,168.53,-1.01
08/08/22,170.25,1.88
08/05/22,167.11,-2.03
08/04/22,170.57,1.05
08/03/22,168.80,5.37
08/02/22,160.19,0.16
08/01/22,159.93,0.52
07/29/22,159.10,-1.01
07/28/22,160.72,-5.22
07/27/22,169.58,6.55
07/26/22,159.15,-4.50
07/25/22,166.65,-1.55
07/22/22,169.27,-7.59
07/21/22,183.17,0.04
07/20/22,183.09,4.16
07/19/22,175.78,5.11
07/18/22,167.23,1.54
07/15/22,164.70,4.21
07/14/22,158.05,-3.33
07/13/22,163.49,0.13
07/12/22,163.27,0.24
07/11/22,162.88,-4.68
07/08/22,170.88,-0.76
07/07/22,172.19,1.43
07/06/22,169.77,0.94
07/05/22,168.19,5.10
07/01/22,160.03,-0.76
06/30/22,161.25,-1.64
06/29/22,163.94,2.03
06/28/22,160.68,-5.20
06/27/22,169.49,-0.39
06/24/22,170.16,7.19
06/23/22,158.75,1.86
06/22/22,155.85,-0.76
06/21/22,157.05,-4.09
06/17/22,163.74,1.78
06/16/22,160.87,-5.01
06/15/22,169.35,3.43
06/14/22,163.73,-0.32
06/13/22,164.26,-6.44
06/10/22,175.57,-4.58
06/09/22,184.00,-6.43
06/08/22,196.64,0.51
06/07/22,195.65,0.72
06/06/22,194.25,1.82
06/03/22,190.78,-4.06
06/02/22,198.86,5.42
06/01/22,188.64,-2.58
05/31/22,193.64,-0.76
05/27/22,195.13,1.83
05/26/22,191.63,4.24
05/25/22,183.83,1.41
05/24/22,181.28,-7.62
05/23/22,196.23,1.39
05/20/22,193.54,1.18
05/19/22,191.29,-0.49
05/18/22,192.24,-5.12
05/17/22,202.62,1.29
05/16/22,200.04,0.71
05/13/22,198.62,3.86
05/12/22,191.24,1.32
05/11/22,188.74,-4.51
05/10/22,197.65,0.73
05/09/22,196.21,-3.71
05/06/22,203.77,-2.17
05/05/22,208.28,-6.77
05/04/22,223.41,5.37
05/03/22,212.03,0.43
05/02/22,211.13,5.32
04/29/22,200.47,-2.56
04/28/22,205.73,17.59
04/27/22,174.95,-3.32
04/26/22,180.95,-3.23
04/25/22,186.99,1.56
04/22/22,184.11,-2.11
04/21/22,188.07,-6.16
04/20/22,200.42,-7.77
04/19/22,217.31,3.10
04/18/22,210.77,0.28
04/14/22,210.18,-2.24
04/13/22,214.99,0.40
04/12/22,214.14,-1.07
04/11/22,216.46,-2.64
04/08/22,222.33,-0.28
04/07/22,222.95,-0.16
04/06/22,223.30,-3.68
04/05/22,231.84,-0.88
04/04/22,233.89,4.02
04/01/22,224.85,1.12
03/31/22,222.36,-2.41
03/30/22,227.85,-0.87
03/29/22,229.86,2.80
03/28/22,223.59,0.80
03/25/22,221.82,1.02
03/24/22,219.57,2.86
03/23/22,213.46,-1.47
03/22/22,216.65,2.44
03/21/22,211.49,-2.31
03/18/22,216.49,4.16
03/17/22,207.84,2.07
03/16/22,203.63,6.04
03/15/22,192.03,2.89
03/14/22,186.63,-0.52
03/11/22,187.61,-3.89
03/10/22,195.21,-1.66
03/09/22,198.50,4.31
03/08/22,190.29,1.50
03/07/22,187.47,-6.29
03/04/22,200.06,-1.43
03/03/22,202.97,-2.47
03/02/22,208.11,2.27
03/01/22,203.49,-3.57
02/28/22,211.03,0.26
02/25/22,210.48,1.39
02/24/22,207.60,4.61
02/23/22,198.45,-1.80
02/22/22,202.08,-1.98
02/18/22,206.16,-0.75
02/17/22,207.71,-4.08
02/16/22,216.54,-2.02
02/15/22,221.00,1.52
02/14/22,217.70,-0.84
02/11/22,219.55,-3.74
02/10/22,228.07,-1.69
02/09/22,232.00,5.37
02/08/22,220.18,-2.10
02/07/22,224.91,-5.14
02/04/22,237.09,-0.28
02/03/22,237.76,-26.39
02/02/22,323.00,1.25
02/01/22,319.00,1.83
01/31/22,313.26,3.83
01/28/22,301.71,2.40
01/27/22,294.64,0.00
01/26/22,294.63,-1.84
01/25/22,300.15,-2.77
01/24/22,308.71,1.83
01/21/22,303.17,-4.23
01/20/22,316.56,-0.95
01/19/22,319.59,0.45
01/18/22,318.15,-4.14
01/14/22,331.90,1.66
01/13/22,326.48,-2.03
01/12/22,333.26,-0.33
01/11/22,334.37,1.92
01/10/22,328.07,-1.12
01/07/22,331.79,-0.20
01/06/22,332.46,2.56
01/05/22,324.17,-3.67
01/04/22,336.53,-0.59
01/03/22,338.54,0.65
12/31/21,336.35,-2.33
12/30/21,344.36,0.41
12/29/21,342.94,-0.95
12/28/21,346.22,0.01
12/27/21,346.18,3.26
12/23/21,335.24,1.45
12/22/21,330.45,-1.12
12/21/21,334.20,2.69
12/20/21,325.45,-2.50
12/17/21,333.79,-0.33
12/16/21,334.90,-1.98
12/15/21,341.66,2.37
12/14/21,333.74,-0.22
12/13/21,334.49,1.44
12/10/21,329.75,-0.02
12/09/21,329.82,-0.22
12/08/21,330.56,2.40
12/07/21,322.81,1.55
12/06/21,317.87,3.59
12/03/21,306.84,-1.14
12/02/21,310.39,-0.07
12/01/21,310.60,-4.27
11/30/21,324.46,-4.01
11/29/21,338.03,1.47
11/26/21,333.12,-2.33
11/24/21,341.06,1.13
11/23/21,337.25,-1.10
11/22/21,341.01,-1.24
11/19/21,345.30,1.95
11/18/21,338.69,-0.61
11/17/21,340.77,-0.64
11/16/21,342.96,-1.32
11/15/21,347.56,1.96
11/12/21,340.89,4.01
11/11/21,327.74,0.03
11/10/21,327.64,-2.30
11/09/21,335.37,-0.96
